transaction_id,store_id,fecha,mes,dia_semana,hora,ubicacion_tienda,tipo_zona,producto,categoria_producto,precio_unitario,tipo_promocion,clima,ingestion_timestamp
T00032,S017,2024-06-25,6,Tuesday,00:00:00,Cusco,Comercial,Jugo,Bebidas,7.58,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00033,S047,2024-03-02,3,Saturday,00:00:00,Lima,Comercial,Jabón,Aseo,11.6,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00034,S005,2024-05-23,5,Thursday,00:00:00,Arequipa,Residencial,Cerveza,Alcohol,15.39,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00035,S005,2024-06-11,6,Tuesday,00:00:00,Arequipa,Comercial,Cerveza,Alcohol,7.38,Descuento,Soleado,2026-04-19 23:51:28.848790
T00036,S039,2024-01-29,1,Monday,00:00:00,Huancayo,Mixta,Jabón,Aseo,4.67,Descuento,Soleado,2026-04-19 23:51:28.848790
T00037,S013,2024-03-31,3,Sunday,00:00:00,Piura,Mixta,Paracetamol,Farmacia,8.22,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00038,S035,2024-12-13,12,Friday,00:00:00,Lima,Residencial,Paracetamol,Farmacia,3.52,Combo,Soleado,2026-04-19 23:51:28.848790
T00039,S038,2024-05-26,5,Sunday,00:00:00,Lima,Residencial,Paracetamol,Farmacia,3.41,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00040,S028,2024-06-04,6,Tuesday,00:00:00,Piura,Comercial,Galletas,Snacks,5.93,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00041,S033,2024-08-27,8,Tuesday,00:00:00,Huancayo,Mixta,Shampoo,Aseo,4.36,Combo,Soleado,2026-04-19 23:51:28.848790
T00042,S006,2024-03-05,3,Tuesday,00:00:00,Lima,Mixta,Shampoo,Aseo,5.07,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00043,S004,2024-07-15,7,Monday,00:00:00,Huancayo,Mixta,Jabón,Aseo,6.01,Descuento,Soleado,2026-04-19 23:51:28.848790
T00044,S017,2024-10-14,10,Monday,00:00:00,Cusco,Mixta,Galletas,Snacks,2.54,2x1,Nublado,2026-04-19 23:51:28.848790
T00045,S034,2024-04-21,4,Sunday,00:00:00,Trujillo,Residencial,Alcohol medicinal,Farmacia,6.06,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00046,S005,2024-11-03,11,Sunday,00:00:00,Lima,Mixta,Vino,Alcohol,22.0,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00047,S040,2024-02-03,2,Saturday,00:00:00,Trujillo,Comercial,Shampoo,Aseo,5.11,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00048,S005,2024-07-02,7,Tuesday,00:00:00,Arequipa,Mixta,Shampoo,Aseo,4.25,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00049,S048,2024-08-20,8,Tuesday,00:00:00,Piura,Comercial,Papas fritas,Snacks,1.46,2x1,Soleado,2026-04-19 23:51:28.848790
T00050,S026,2024-03-01,3,Friday,00:00:00,Piura,Residencial,Jugo,Bebidas,5.22,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00051,S039,2024-01-14,1,Sunday,00:00:00,Arequipa,Mixta,Paracetamol,Farmacia,4.28,2x1,Soleado,2026-04-19 23:51:28.848790
T00052,S034,2024-09-29,9,Sunday,00:00:00,Huancayo,Comercial,Alcohol medicinal,Farmacia,6.76,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00053,S021,2024-04-20,4,Saturday,00:00:00,Lima,Mixta,Papas fritas,Snacks,2.22,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00054,S006,2024-07-16,7,Tuesday,00:00:00,Cusco,Comercial,Hamburguesa,Comidas,5.52,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00055,S006,2024-11-17,11,Sunday,00:00:00,Cusco,Mixta,Alcohol medicinal,Farmacia,8.39,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00056,S033,2024-04-27,4,Saturday,00:00:00,Arequipa,Residencial,Cerveza,Alcohol,8.93,2x1,Soleado,2026-04-19 23:51:28.848790
T00057,S035,2024-06-26,6,Wednesday,00:00:00,Trujillo,Mixta,Galletas,Snacks,1.69,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00058,S029,2024-04-03,4,Wednesday,00:00:00,Trujillo,Comercial,Vino,Alcohol,7.26,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00059,S018,2024-11-23,11,Saturday,00:00:00,Lima,Residencial,Alcohol medicinal,Farmacia,7.12,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00060,S039,2024-10-22,10,Tuesday,00:00:00,Huancayo,Mixta,Shampoo,Aseo,8.35,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00061,S037,2024-07-16,7,Tuesday,00:00:00,Arequipa,Mixta,Hamburguesa,Comidas,12.41,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00062,S008,2024-10-15,10,Tuesday,00:00:00,Huancayo,Comercial,Papas fritas,Snacks,3.68,Descuento,Soleado,2026-04-19 23:51:28.848790
T00063,S006,2024-09-17,9,Tuesday,00:00:00,Cusco,Residencial,Chocolate,Snacks,4.58,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00064,S005,2024-07-18,7,Thursday,00:00:00,Piura,Comercial,Hamburguesa,Comidas,12.26,2x1,Nublado,2026-04-19 23:51:28.848790
T00065,S026,2024-10-19,10,Saturday,00:00:00,Piura,Residencial,Cerveza,Alcohol,23.3,2x1,Nublado,2026-04-19 23:51:28.848790
T00066,S026,2024-04-19,4,Friday,00:00:00,Huancayo,Mixta,Agua,Bebidas,3.36,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00067,S024,2024-10-17,10,Thursday,00:00:00,Huancayo,Comercial,Chocolate,Snacks,1.16,Descuento,Soleado,2026-04-19 23:51:28.848790
T00068,S040,2024-06-09,6,Sunday,00:00:00,Trujillo,Mixta,Hamburguesa,Comidas,14.61,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00069,S001,2024-02-18,2,Sunday,00:00:00,Lima,Residencial,Paracetamol,Farmacia,7.11,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00070,S010,2024-03-18,3,Monday,00:00:00,Piura,Comercial,Alcohol medicinal,Farmacia,5.61,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00071,S047,2024-12-31,12,Tuesday,00:00:00,Cusco,Residencial,Vino,Alcohol,9.73,Descuento,Soleado,2026-04-19 23:51:28.848790
T00072,S021,2024-08-16,8,Friday,00:00:00,Arequipa,Residencial,Cerveza,Alcohol,21.77,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00073,S020,2024-08-10,8,Saturday,00:00:00,Piura,Mixta,Chocolate,Snacks,1.91,Descuento,Soleado,2026-04-19 23:51:28.848790
T00074,S017,2024-01-11,1,Thursday,00:00:00,Piura,Mixta,Vino,Alcohol,10.17,2x1,Nublado,2026-04-19 23:51:28.848790
T00075,S045,2024-07-20,7,Saturday,00:00:00,Lima,Comercial,Sandwich,Comidas,6.39,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00076,S021,2024-04-07,4,Sunday,00:00:00,Arequipa,Comercial,Papas fritas,Snacks,3.77,Descuento,Soleado,2026-04-19 23:51:28.848790
T00077,S043,2024-01-27,1,Saturday,00:00:00,Arequipa,Comercial,Cerveza,Alcohol,20.65,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00078,S022,2024-07-11,7,Thursday,00:00:00,Arequipa,Comercial,Jabón,Aseo,7.81,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00079,S040,2024-03-09,3,Saturday,00:00:00,Piura,Mixta,Cerveza,Alcohol,17.84,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00080,S044,2024-01-17,1,Wednesday,00:00:00,Lima,Residencial,Hamburguesa,Comidas,11.95,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00081,S025,2024-10-31,10,Thursday,00:00:00,Piura,Residencial,Jugo,Bebidas,6.39,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00082,S007,2024-09-24,9,Tuesday,00:00:00,Arequipa,Comercial,Agua,Bebidas,5.53,2x1,Nublado,2026-04-19 23:51:28.848790
T00083,S045,2024-05-16,5,Thursday,00:00:00,Piura,Mixta,Shampoo,Aseo,6.92,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00084,S042,2024-04-07,4,Sunday,00:00:00,Trujillo,Mixta,Chocolate,Snacks,3.7,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00085,S029,2024-04-17,4,Wednesday,00:00:00,Arequipa,Comercial,Galletas,Snacks,5.7,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00086,S004,2024-11-13,11,Wednesday,00:00:00,Lima,Mixta,Gaseosa,Bebidas,4.53,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00087,S006,2024-05-25,5,Saturday,00:00:00,Lima,Residencial,Shampoo,Aseo,10.29,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00088,S026,2024-10-21,10,Monday,00:00:00,Arequipa,Comercial,Shampoo,Aseo,4.96,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00089,S017,2024-08-28,8,Wednesday,00:00:00,Huancayo,Residencial,Shampoo,Aseo,8.12,Combo,Soleado,2026-04-19 23:51:28.848790
T00090,S009,2024-08-03,8,Saturday,00:00:00,Arequipa,Comercial,Shampoo,Aseo,6.12,Descuento,Soleado,2026-04-19 23:51:28.848790
T00091,S018,2024-07-13,7,Saturday,00:00:00,Cusco,Comercial,Jugo,Bebidas,6.41,2x1,Soleado,2026-04-19 23:51:28.848790
T00092,S045,2024-02-06,2,Tuesday,00:00:00,Trujillo,Residencial,Jabón,Aseo,9.42,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00093,S043,2024-10-15,10,Tuesday,00:00:00,Arequipa,Residencial,Empanada,Comidas,11.8,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00094,S049,2024-02-14,2,Wednesday,00:00:00,Piura,Mixta,Shampoo,Aseo,6.3,Combo,Nublado,2026-04-19 23:51:28.848790
T00095,S004,2024-08-20,8,Tuesday,00:00:00,Piura,Residencial,Hamburguesa,Comidas,8.42,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00096,S012,2024-12-17,12,Tuesday,00:00:00,Piura,Mixta,Energizante,Bebidas,4.84,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00097,S029,2024-06-12,6,Wednesday,00:00:00,Cusco,Residencial,Cerveza,Alcohol,18.98,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00098,S017,2024-01-04,1,Thursday,00:00:00,Arequipa,Residencial,Jugo,Bebidas,6.16,2x1,Soleado,2026-04-19 23:51:28.848790
T00099,S025,2024-08-23,8,Friday,00:00:00,Trujillo,Mixta,Vino,Alcohol,10.37,Descuento,Soleado,2026-04-19 23:51:28.848790
T00100,S029,2024-10-06,10,Sunday,00:00:00,Piura,Mixta,Vino,Alcohol,14.62,2x1,Nublado,2026-04-19 23:51:28.848790
T00101,S002,2024-06-29,6,Saturday,00:00:00,Cusco,Comercial,Gaseosa,Bebidas,5.64,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00102,S038,2024-12-09,12,Monday,00:00:00,Arequipa,Residencial,Energizante,Bebidas,4.35,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00103,S033,2024-09-23,9,Monday,00:00:00,Lima,Residencial,Alcohol medicinal,Farmacia,6.62,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00104,S049,2024-08-20,8,Tuesday,00:00:00,Huancayo,Residencial,Shampoo,Aseo,5.6,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00105,S047,2024-12-25,12,Wednesday,00:00:00,Trujillo,Mixta,Hamburguesa,Comidas,12.09,2x1,Soleado,2026-04-19 23:51:28.848790
T00106,S025,2024-09-07,9,Saturday,00:00:00,Arequipa,Comercial,Galletas,Snacks,1.82,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00107,S028,2024-10-27,10,Sunday,00:00:00,Cusco,Residencial,Jabón,Aseo,8.34,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00108,S044,2024-07-20,7,Saturday,00:00:00,Trujillo,Residencial,Paracetamol,Farmacia,5.42,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00109,S003,2024-01-20,1,Saturday,00:00:00,Arequipa,Residencial,Vino,Alcohol,24.85,Descuento,Nublado,2026-04-19 23:51:28.848790
T00110,S047,2024-08-24,8,Saturday,00:00:00,Trujillo,Mixta,Jugo,Bebidas,3.08,Descuento,Nublado,2026-04-19 23:51:28.848790
T00111,S023,2024-01-14,1,Sunday,00:00:00,Lima,Comercial,Paracetamol,Farmacia,5.78,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00112,S020,2024-10-29,10,Tuesday,00:00:00,Piura,Mixta,Alcohol medicinal,Farmacia,7.95,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00113,S014,2024-10-10,10,Thursday,00:00:00,Trujillo,Mixta,Shampoo,Aseo,8.32,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00114,S024,2024-05-09,5,Thursday,00:00:00,Trujillo,Comercial,Jabón,Aseo,9.51,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00115,S045,2024-09-07,9,Saturday,00:00:00,Huancayo,Comercial,Gaseosa,Bebidas,4.73,Combo,Lluvioso,2026-04-19 23:51:28.848790
T00116,S026,2024-11-03,11,Sunday,00:00:00,Piura,Comercial,Cerveza,Alcohol,22.49,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00117,S026,2024-04-23,4,Tuesday,00:00:00,Piura,Mixta,Energizante,Bebidas,6.14,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00118,S038,2024-08-07,8,Wednesday,00:00:00,Piura,Comercial,Agua,Bebidas,6.69,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00119,S007,2024-01-19,1,Friday,00:00:00,Piura,Comercial,Jabón,Aseo,6.6,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00120,S002,2024-05-22,5,Wednesday,00:00:00,Lima,Residencial,Hamburguesa,Comidas,12.59,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00121,S043,2024-04-26,4,Friday,00:00:00,Trujillo,Comercial,Jabón,Aseo,8.17,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00122,S046,2024-12-01,12,Sunday,00:00:00,Trujillo,Mixta,Energizante,Bebidas,3.18,Combo,Lluvioso,2026-04-19 23:51:28.848790
T00123,S031,2024-01-27,1,Saturday,00:00:00,Cusco,Mixta,Galletas,Snacks,5.12,Descuento,Soleado,2026-04-19 23:51:28.848790
T00124,S028,2024-03-11,3,Monday,00:00:00,Piura,Residencial,Galletas,Snacks,3.63,Descuento,Soleado,2026-04-19 23:51:28.848790
T00125,S018,2024-01-26,1,Friday,00:00:00,Piura,Comercial,Agua,Bebidas,3.42,Combo,Soleado,2026-04-19 23:51:28.848790
T00126,S007,2024-06-12,6,Wednesday,00:00:00,Lima,Mixta,Papas fritas,Snacks,3.36,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00127,S041,2024-06-08,6,Saturday,00:00:00,Piura,Residencial,Paracetamol,Farmacia,6.12,2x1,Nublado,2026-04-19 23:51:28.848790
T00128,S006,2024-08-28,8,Wednesday,00:00:00,Cusco,Comercial,Hamburguesa,Comidas,11.45,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00129,S002,2024-07-14,7,Sunday,00:00:00,Lima,Comercial,Cerveza,Alcohol,10.39,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00130,S016,2024-08-02,8,Friday,00:00:00,Piura,Comercial,Jugo,Bebidas,4.0,Descuento,Nublado,2026-04-19 23:51:28.848790
T00131,S030,2024-04-15,4,Monday,00:00:00,Cusco,Residencial,Vino,Alcohol,24.86,Descuento,Nublado,2026-04-19 23:51:28.848790
T00132,S002,2024-05-28,5,Tuesday,00:00:00,Huancayo,Comercial,Agua,Bebidas,2.96,Descuento,Nublado,2026-04-19 23:51:28.848790
T00133,S047,2024-09-05,9,Thursday,00:00:00,Lima,Mixta,Hamburguesa,Comidas,9.97,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00134,S002,2024-02-18,2,Sunday,00:00:00,Huancayo,Comercial,Jabón,Aseo,4.65,2x1,Nublado,2026-04-19 23:51:28.848790
T00135,S046,2024-12-12,12,Thursday,00:00:00,Arequipa,Comercial,Alcohol medicinal,Farmacia,7.24,2x1,Nublado,2026-04-19 23:51:28.848790
T00136,S018,2024-01-25,1,Thursday,00:00:00,Trujillo,Comercial,Shampoo,Aseo,6.49,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00137,S031,2024-11-11,11,Monday,00:00:00,Trujillo,Mixta,Alcohol medicinal,Farmacia,8.28,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00138,S040,2024-02-25,2,Sunday,00:00:00,Lima,Mixta,Sandwich,Comidas,6.78,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00139,S022,2024-09-29,9,Sunday,00:00:00,Cusco,Residencial,Vino,Alcohol,18.43,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00140,S005,2024-01-14,1,Sunday,00:00:00,Trujillo,Residencial,Paracetamol,Farmacia,4.33,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00141,S026,2024-03-05,3,Tuesday,00:00:00,Trujillo,Comercial,Papas fritas,Snacks,1.21,Combo,Nublado,2026-04-19 23:51:28.848790
T00142,S001,2024-07-14,7,Sunday,00:00:00,Cusco,Comercial,Sandwich,Comidas,13.92,2x1,Soleado,2026-04-19 23:51:28.848790
T00143,S023,2024-05-09,5,Thursday,00:00:00,Trujillo,Residencial,Galletas,Snacks,3.48,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00144,S020,2024-12-09,12,Monday,00:00:00,Arequipa,Residencial,Cerveza,Alcohol,21.24,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00145,S008,2024-10-03,10,Thursday,00:00:00,Piura,Mixta,Alcohol medicinal,Farmacia,8.81,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00146,S025,2024-11-15,11,Friday,00:00:00,Huancayo,Mixta,Cerveza,Alcohol,10.85,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00147,S009,2024-04-28,4,Sunday,00:00:00,Trujillo,Mixta,Galletas,Snacks,4.08,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00148,S032,2024-06-01,6,Saturday,00:00:00,Arequipa,Comercial,Vino,Alcohol,15.42,2x1,Nublado,2026-04-19 23:51:28.848790
T00149,S022,2024-08-09,8,Friday,00:00:00,Lima,Residencial,Papas fritas,Snacks,4.74,Descuento,Soleado,2026-04-19 23:51:28.848790
T00150,S033,2024-08-22,8,Thursday,00:00:00,Piura,Comercial,Jabón,Aseo,7.31,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00151,S003,2024-07-02,7,Tuesday,00:00:00,Huancayo,Mixta,Shampoo,Aseo,10.49,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00152,S026,2024-04-13,4,Saturday,00:00:00,Piura,Comercial,Sandwich,Comidas,8.55,2x1,Nublado,2026-04-19 23:51:28.848790
T00153,S047,2024-11-09,11,Saturday,00:00:00,Lima,Comercial,Paracetamol,Farmacia,3.87,Combo,Soleado,2026-04-19 23:51:28.848790
T00154,S007,2024-05-11,5,Saturday,00:00:00,Huancayo,Mixta,Papas fritas,Snacks,1.02,2x1,Nublado,2026-04-19 23:51:28.848790
T00155,S019,2024-01-04,1,Thursday,00:00:00,Arequipa,Residencial,Chocolate,Snacks,4.0,Descuento,Nublado,2026-04-19 23:51:28.848790
T00156,S028,2024-05-31,5,Friday,00:00:00,Cusco,Comercial,Galletas,Snacks,1.74,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00157,S039,2024-09-07,9,Saturday,00:00:00,Arequipa,Residencial,Vino,Alcohol,19.03,2x1,Soleado,2026-04-19 23:51:28.848790
T00158,S019,2024-05-16,5,Thursday,00:00:00,Trujillo,Residencial,Cerveza,Alcohol,11.19,Combo,Lluvioso,2026-04-19 23:51:28.848790
T00159,S035,2024-02-04,2,Sunday,00:00:00,Piura,Mixta,Jabón,Aseo,4.4,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00160,S028,2024-05-08,5,Wednesday,00:00:00,Huancayo,Residencial,Alcohol medicinal,Farmacia,4.98,2x1,Soleado,2026-04-19 23:51:28.848790
T00161,S033,2024-06-11,6,Tuesday,00:00:00,Piura,Comercial,Papas fritas,Snacks,1.17,Descuento,Soleado,2026-04-19 23:51:28.848790
T00162,S005,2024-01-07,1,Sunday,00:00:00,Piura,Mixta,Vino,Alcohol,17.86,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00163,S033,2024-05-10,5,Friday,00:00:00,Lima,Mixta,Sandwich,Comidas,12.2,Combo,Soleado,2026-04-19 23:51:28.848790
T00164,S048,2024-03-21,3,Thursday,00:00:00,Cusco,Comercial,Sandwich,Comidas,9.58,Descuento,Soleado,2026-04-19 23:51:28.848790
T00165,S007,2024-02-26,2,Monday,00:00:00,Piura,Comercial,Sandwich,Comidas,9.59,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00166,S003,2024-10-03,10,Thursday,00:00:00,Huancayo,Comercial,Jabón,Aseo,4.22,Descuento,Nublado,2026-04-19 23:51:28.848790
T00167,S028,2024-02-13,2,Tuesday,00:00:00,Piura,Mixta,Paracetamol,Farmacia,3.66,2x1,Soleado,2026-04-19 23:51:28.848790
T00168,S003,2024-10-23,10,Wednesday,00:00:00,Trujillo,Residencial,Jugo,Bebidas,5.2,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00169,S009,2024-10-09,10,Wednesday,00:00:00,Huancayo,Residencial,Cerveza,Alcohol,21.17,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00170,S027,2024-01-12,1,Friday,00:00:00,Huancayo,Mixta,Jugo,Bebidas,6.01,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00171,S044,2024-11-20,11,Wednesday,00:00:00,Lima,Residencial,Vino,Alcohol,21.56,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00172,S041,2024-12-29,12,Sunday,00:00:00,Lima,Residencial,Galletas,Snacks,4.56,Descuento,Nublado,2026-04-19 23:51:28.848790
T00173,S034,2024-11-02,11,Saturday,00:00:00,Piura,Comercial,Sandwich,Comidas,13.44,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00174,S021,2024-03-06,3,Wednesday,00:00:00,Cusco,Mixta,Paracetamol,Farmacia,5.14,2x1,Soleado,2026-04-19 23:51:28.848790
